ReviewID,CustomerID,Rating,Comment,Date
1,1,5,Very happy with the purchase. High quality and works perfectly.,2025-06-20
2,1,5,Excellent product! Exceeded my expectations.,2026-07-16
3,1,4,Satisfied with this purchase. Minor issues but overall great.,2026-03-07
4,1,4,Good quality product. Worth the money.,2026-04-20
5,1,5,"Fast shipping, great value. Highly recommend!",2025-03-07
6,1,5,Amazing service and outstanding quality!,2025-08-24
7,1,4,Satisfied with this purchase. Minor issues but overall great.,2026-05-15
8,1,5,Amazing service and outstanding quality!,2025-08-18
9,2,3,Satisfactory but probably wouldn't recommend it over alternatives.,2025-10-19
10,2,5,"Fast shipping, great value. Highly recommend!",2025-08-07
11,2,5,"Fast shipping, great value. Highly recommend!",2025-12-19
12,2,5,Exactly what I was looking for. Five stars!,2025-10-18
13,2,3,"It is okay, does the job but nothing special.",2025-10-26
14,3,3,Satisfactory but probably wouldn't recommend it over alternatives.,2025-04-24
15,4,4,"Decent performance, looks nice in my room.",2025-02-09
16,4,4,Satisfied with this purchase. Minor issues but overall great.,2025-01-26
17,4,5,Exactly what I was looking for. Five stars!,2025-10-13
18,4,5,"Fast shipping, great value. Highly recommend!",2025-08-25
19,5,4,Good quality product. Worth the money.,2026-07-09
20,5,5,"Fast shipping, great value. Highly recommend!",2026-04-22
21,5,4,Satisfied with this purchase. Minor issues but overall great.,2026-06-09
22,5,4,Satisfied with this purchase. Minor issues but overall great.,2026-02-10
23,5,4,Very solid build. Would buy again.,2026-05-17
24,5,4,Very solid build. Would buy again.,2025-12-10
25,5,5,Very happy with the purchase. High quality and works perfectly.,2026-05-18
26,5,5,"Fast shipping, great value. Highly recommend!",2026-05-20
27,6,1,"Horrible experience, stopped working on day one.",2026-04-27
28,7,3,"It is okay, does the job but nothing special.",2024-06-27
29,7,5,"Fast shipping, great value. Highly recommend!",2025-05-13
30,10,5,Amazing service and outstanding quality!,2025-06-25
31,10,3,Satisfactory but probably wouldn't recommend it over alternatives.,2024-02-29
32,10,5,Excellent product! Exceeded my expectations.,2024-11-26
33,11,3,Average quality. You get what you pay for.,2026-03-15
34,11,3,"Decent product, but I expected more features.",2025-09-02
35,12,3,"It is okay, does the job but nothing special.",2026-04-15
36,12,3,"It is okay, does the job but nothing special.",2026-07-19
37,13,3,Satisfactory but probably wouldn't recommend it over alternatives.,2026-04-02
38,13,5,Amazing service and outstanding quality!,2024-10-25
39,14,5,Excellent product! Exceeded my expectations.,2026-04-28
40,14,4,"Works well, though delivery took a bit longer than expected.",2026-06-29
41,14,4,Good quality product. Worth the money.,2026-06-28
42,14,5,"Fast shipping, great value. Highly recommend!",2026-04-02
43,14,4,Good quality product. Worth the money.,2026-04-08
44,14,5,Very happy with the purchase. High quality and works perfectly.,2026-06-25
45,14,5,Excellent product! Exceeded my expectations.,2026-05-06
46,14,4,Good quality product. Worth the money.,2026-04-30
47,15,5,Amazing service and outstanding quality!,2026-06-12
48,15,4,Satisfied with this purchase. Minor issues but overall great.,2026-06-29
49,15,5,Exactly what I was looking for. Five stars!,2026-07-08
50,15,5,"Fast shipping, great value. Highly recommend!",2026-07-19
51,15,4,Very solid build. Would buy again.,2026-06-26
52,15,4,"Decent performance, looks nice in my room.",2026-06-15
53,15,5,Exactly what I was looking for. Five stars!,2026-07-17
54,18,3,"It is okay, does the job but nothing special.",2026-05-15
55,19,5,Excellent product! Exceeded my expectations.,2025-07-22
56,19,3,Satisfactory but probably wouldn't recommend it over alternatives.,2025-11-18
57,20,5,Excellent product! Exceeded my expectations.,2023-12-25
58,22,4,Very solid build. Would buy again.,2026-02-17
59,22,4,"Decent performance, looks nice in my room.",2026-01-22
60,22,4,Good quality product. Worth the money.,2026-07-09
61,22,5,Exactly what I was looking for. Five stars!,2026-06-24
62,23,3,"It is okay, does the job but nothing special.",2026-07-15
63,23,5,Amazing service and outstanding quality!,2026-07-01
64,24,4,Good quality product. Worth the money.,2026-04-29
65,24,5,Exactly what I was looking for. Five stars!,2024-03-12
66,24,4,"Works well, though delivery took a bit longer than expected.",2025-12-01
67,25,5,Amazing service and outstanding quality!,2025-11-04
68,25,5,Very happy with the purchase. High quality and works perfectly.,2024-10-17
69,26,1,Complete waste of money. Arrived broken.,2024-09-24
70,26,3,Satisfactory but probably wouldn't recommend it over alternatives.,2024-09-17
71,27,5,Exactly what I was looking for. Five stars!,2026-06-19
72,27,4,"Works well, though delivery took a bit longer than expected.",2025-07-04
73,27,5,Exactly what I was looking for. Five stars!,2026-04-01
74,29,4,Satisfied with this purchase. Minor issues but overall great.,2025-08-19
75,29,4,Very solid build. Would buy again.,2026-06-14
76,29,4,Very solid build. Would buy again.,2026-04-20
77,29,5,Very happy with the purchase. High quality and works perfectly.,2026-01-06
