OrderID,CustomerID,Product,Category,Price,Quantity,Date
1,1,Coffee Maker,Home,49.99,3,2025-08-28
2,1,Mechanical Keyboard,Electronics,89.99,2,2025-10-05
3,1,"27"" Monitor",Electronics,249.99,3,2025-06-17
4,1,"27"" Monitor",Electronics,249.99,2,2025-11-09
5,1,Running Shoes,Apparel,65.0,2,2024-11-22
6,1,Mystery Novel: Dark Woods,Books,12.99,1,2026-07-13
7,1,Sport Socks (5 pack),Apparel,14.99,2,2025-12-09
8,1,Mechanical Keyboard,Electronics,89.99,3,2026-03-06
9,1,Wireless Mouse,Electronics,29.99,3,2026-04-18
10,1,Data Science Handbook,Books,44.99,1,2025-11-07
11,1,Ergonomic Chair,Home,189.99,1,2025-03-04
12,1,Running Shoes,Apparel,65.0,2,2025-08-19
13,1,Leather Backpack,Apparel,79.99,2,2025-07-26
14,1,Water Bottle,Home,18.0,2,2025-01-24
15,1,Sci-Fi Novel: The Stars,Books,14.99,1,2026-05-14
16,1,Smart Watch,Electronics,149.99,2,2026-04-02
17,1,Business Strategy Guide,Books,24.99,1,2025-08-13
18,1,History of the World,Books,18.99,3,2025-04-22
19,1,Data Science Handbook,Books,44.99,3,2024-11-19
20,2,Sport Socks (5 pack),Apparel,14.99,2,2025-10-18
21,2,Coffee Maker,Home,49.99,2,2026-03-20
22,2,Water Bottle,Home,18.0,3,2025-08-02
23,2,Wireless Mouse,Electronics,29.99,2,2025-12-18
24,2,Sci-Fi Novel: The Stars,Books,14.99,1,2026-01-06
25,2,Denim Jacket,Apparel,55.0,3,2025-10-17
26,2,Mechanical Keyboard,Electronics,89.99,1,2025-10-24
27,3,Smart Watch,Electronics,149.99,1,2024-10-10
28,3,Business Strategy Guide,Books,24.99,2,2025-03-31
29,3,Coffee Maker,Home,49.99,1,2025-04-08
30,3,Water Bottle,Home,18.0,1,2025-04-23
31,4,Noise Cancelling Headphones,Electronics,199.99,1,2026-01-01
32,4,Scented Candle,Home,12.5,3,2025-11-21
33,4,USB-C Hub,Electronics,39.99,3,2025-02-04
34,4,USB-C Hub,Electronics,39.99,1,2025-04-14
35,4,Mystery Novel: Dark Woods,Books,12.99,2,2025-09-29
36,4,Graphic T-Shirt,Apparel,19.99,2,2026-04-21
37,4,Sunglasses,Apparel,24.99,1,2025-01-23
38,4,Coffee Maker,Home,49.99,3,2025-09-17
39,4,USB-C Hub,Electronics,39.99,2,2025-10-08
40,4,Mystery Novel: Dark Woods,Books,12.99,2,2025-04-20
41,4,USB-C Hub,Electronics,39.99,3,2025-08-21
42,4,Coffee Maker,Home,49.99,2,2026-06-03
